Account Address,Spent(ATOM),Purchased(ssDRAGON)
osmo10lhwra8pyu6j7q39prez3ytp584fw9asvn2av7,1793.6,15199344.153386
osmo13gd97ke6erejqk2p050xkpc63jhtujrevjue5p,1304.243122,11016261.956554
osmo13x4pynlp86prhcmtns742kgsgu7pjtzjcz4jy3,1057,8927928.153627
osmo1euyqrnh8qrsszzc3y8z9u3c3lsprqvm0y5fjs5,665.923328,5624707.311455
osmo18s6upungy64ynuhldwx7vackfrrg6dcqp9elzc,550.059469,4646065.675926
osmo1mzp9lhpjl8ndppzmuzh7c5zdjha597yekaeky7,531,4485080.273960
osmo1r9r58f7gk34sxn5kq9t2v3fmelezsxhd35q62c,506.622435,4279175.686561
osmo140n3kew4vc2q772gvt2xqsdh5n70yw2rvczmsv,510,4067216.325755
osmo1wrk0dtqrz4vkvt8re8e6g4uu38pcyqr9xtxqsd,300,2533943.657605
osmo12h772nnaz4249s4sz5p5a6we9qz583ky8vgptx,293,2474818.305594
osmo1hw0ufdhmgdfdxr32evzk2z40lzll2me95f4nf8,253,2136959.151247
osmo1meq87jyrkl2dlh28c6050v52rhumdfysj0vdag,224,1892011.264345
osmo1ylx03vqp2zkpjayudpx2k0psgdx4uc3d7n2df3,216.224356,1826334.451686
osmo1tc04s3qm00fyhllzrm4e3lrdrhzx798xuxzk7v,200,1689295.771736
osmo1mgd8tgkh4heyfz4cqfvcgwpta2f4ymm4vfv3ml,183.851916,1552901.321622
osmo1lhhw23aljdf92zkk5ez8ma9kvzygjyxyt5l4dz,150,1266971.828802
osmo1e8238v24qccht9mqc2w0r4luq462yxttnk462u,129.1,1090440.420656
osmo1ytem9skzmq7n7tlfcqjw6wqfgd587cn3n2t9jt,120.390014,1016871.708047
osmo1gkfm69ulp493c4srhet0gm8pgpzm7j7umf5hy8,112.734417,952208.869836
osmo1ggasywhgu0yjg6jmgrv38sr75gu37c6c2zhlqv,108.16,910103.314818
osmo15z06u0ggu39v7ll5m444le2f0qxyvtym8sftrv,100.02,844816.815445
osmo1g45gy7za2qx3ee7lgy66d0wumc59pmptldve57,95.2,804104.787347
osmo1462ur7tvt98xwl33sexux59cp974ct4xyk0j86,91.595491,773659.378282
osmo1t8sk5zsucpxwyursv56yln43ndnucu7394ywvz,77,599274.632076
osmo1vjymkucluukngrzyp3ykkdrj6mr6h7y05zxjh7,54,456109.858369
osmo1ltv32akcjtp7drqskvrajt03xr5pa079qxup2q,52.9,446818.731624
osmo1wd3463ejjkn32ae83e09vm65rgqkha45zum0j9,50.02844,422564.160793
osmo19t647cx67u9jkjlajwrzg609ls9tejzen5wlx0,50,422323.942934
osmo1yl7pw974pes8xews3uslc2hg05t0hghqqeavq0,50,422323.942934
osmo1nlwzszxhdygyy3ljrhcvzw8az927m4lrw9ak89,50,422323.942934
osmo1t4d2wzq57xmkm5kg44megpu3v4wcwvs8muxxh8,50,422323.942934
osmo1svfpddvanq0p4ejp0v9myxt5zrfy6mdy64f8cs,45.5,384314.788070
osmo1fuw09hfg2gpk5tzcueh0nx054k87jsepudns2t,44.5,375868.309211
osmo13mzcw7ezlgzcgpls7xqxpsg5qqsxvp8j9nd52p,40.654325,343385.896626
osmo1y54rjjlmyselkufxrrdcua3w3ukhzyhg9u5s2c,39,329412.675489
osmo1zlnzyurnvyukg8s3d9aysgcc48g7sv8yzsd5jy,37.5,316742.957201
osmo1jpuwjs0ema9jdr6ff2xt6v4xqdczwz5nl73e7d,36.82,310999.351577
osmo14v5fss4s27z6kd53m0x4j7yffahl8hv0mtyjw6,36.63,309394.520594
